to serve in the army,служИть в Армии 
utility bills ,квартпла́та; коммун<span style='color: blue;'>а</span>лка 
etc,и так д<span style='color: blue;'>а</span>лее 
to resign/to retire ,уйтИ в отстАвку (звучит как "ацтафку"
to retire,вы́йти на п<span style='color: blue;'>е</span>нсию 
establishment/institution ,учрежд<span style='color: blue;'>е</span>ние 
law,зак<span style='color: blue;'>о</span>н 
police officer ,полиц<span style='color: blue;'>е</span>йский 
police,пол<span style='color: blue;'>и</span>ция 
I suppose,я полаг<span style='color: blue;'>а</span>ю 
number/date (in the calendar),числ<span style='color: blue;'>о</span> 
to set off on a journey,отпр<span style='color: blue;'>а</span>виться в путешествие 
to do/to make (perfective),сделать 
labor,труд 
tennis class,урок по теннису/урок тенниса 
