state ,госуд<span style='color: blue;'>а</span>рство 
an official,чин<span style='color: blue;'>о</span>вник 
since then,с тех пор 
to elect ,избир<span style='color: blue;'>а</span>ть 
living room,гост<span style='color: blue;'>и</span>ная 
hall,зал 
bass ,бас 
Godfather,крёс(т)ный от<span style='color: blue;'>е</span>ц 
effort,ус<span style='color: blue;'>и</span>лие 
mind,ум 
to talk,бес<span style='color: blue;'>е</span>довать 
conversation ,бес<span style='color: blue;'>е</span>да 
priest ,свящ<span style='color: blue;'>е</span>нник 
to expel/to kick out ,в<span style='color: blue;'>ы</span>гнать 
let it be,пусть будет так 
