in honor of this person,в честь этого человека 
notes ,за́писи/заме́тки 
to faint,упа́сть в о́бморок/потер<span style='color: blue;'>я</span>ть созна́ние 
consciousness ,созна́ние 
assumption ,предположе́ние
continent,контине́нт 
to visit (a person),навести́ть 
currency,вал<span style='color: blue;'>ю</span>та 
to top up the balance,поп<span style='color: blue;'>о</span>лнить баланс 
cheap,дешёвый 
cheaper ,деш<span style='color: blue;'>е</span>вле 
price,цен<span style='color: blue;'>а</span> 
to pause a video,постАвить видео на пАузу 
drunk (person),пь<span style='color: blue;'>я</span>ный 
to exchange money,обмен<span style='color: blue;'>я</span>ть деньги 
