I'm afraid of him (genetive case),я бо<span style='color: blue;'>ю</span>сь его 
in detail,подр<span style='color: blue;'>о</span>бно 
attention! Watch out!,остор<span style='color: blue;'>о</span>жно! 
Thank you for doing that ,<span style='color: blue;'>с</span>пасибо за то что ты сделал это 
I'm fed up,мне надо<span style='color: blue;'>е</span>ло 
expression,выраж<span style='color: blue;'>е</span>ние 
it's annoying ,это раздраж<span style='color: blue;'>а</span>ет 
prison ,тюрьм<span style='color: blue;'>а</span> 
to keep silence ,молч<span style='color: blue;'>а</span>ть 
roof,кр<span style='color: blue;'>ы</span>ша 
