to doubt,сомнев<span style='color: blue;'>а</span>ться 
I doubt ,<span style='color: blue;'>я</span> сомнев<span style='color: blue;'>я</span>юсь 
to pull (imperfective),тян<span style='color: blue;'>у</span>ть 
to push (imperfective),толк<span style='color: blue;'>а</span>ть 
rope,верёвка 
guy,п<span style='color: blue;'>а</span>рень 
guys,реб<span style='color: blue;'>я</span>та 
fear ,стр<span style='color: blue;'>а</span>х 
to enter (perfective),войт<span style='color: blue;'>и</span> 
to go out (perfective),в<span style='color: blue;'>ы</span>йти 
to enter (imperfective),вход<span style='color: blue;'>и</span>ть 
to go out (imperfective),выход<span style='color: blue;'>и</span>ть 
entry,вхо́д 
exit,в<span style='color: blue;'>ы</span>ход 
to be frightened,испуг<span style='color: blue;'>а</span>ться 
