both ,<span style='color: blue;'>о</span>ба 
to pretend (perfective),притвор<span style='color: blue;'>и</span>ться 
seat ,сид<span style='color: blue;'>е</span>нье 
compared to (+ instrumental case) ,по сравн<span style='color: blue;'>е</span>нию с 
dumplings ,пельм<span style='color: blue;'>е</span>ни 
jam ,вар<span style='color: blue;'>е</span>нье; джем 
caviar ,икр<span style='color: blue;'>а</span> 
with me ,со мной 
each/every ,к<span style='color: blue;'>а</span>ждый 
classmate,однокл<span style='color: blue;'>а</span>ссник 
