to jump (imperfective),пр<span style='color: blue;'>ы</span>гать 
suddenly ,вдруг 
stupid,гл<span style='color: blue;'>у</span>пый 
on the one hand,с одн<span style='color: blue;'>о</span>й стороны́ 
on the other hand,с другой стороны́ 
you cannot/it's impossible/it's forbidden ,нельз<span style='color: blue;'>я</span> 
funeral ,п<span style='color: blue;'>о</span>хороны 
I want to divide it into two parts,я хочу раздел<span style='color: blue;'>и</span>ть это на две части 
I want to share my video with you,<span style='color: blue;'>я</span> хочу подел<span style='color: blue;'>я</span>ться с тобой моим видео 
to forgive (perfective),прост<span style='color: blue;'>и</span>ть 
