embassy ,пос<span style='color: blue;'>о</span>льство 
consulate ,к<span style='color: blue;'>о</span>нсульство 
approximately ,прим<span style='color: blue;'>е</span>рно 
to increase ,увел<span style='color: blue;'>и</span>чить 
to decrease ,ум<span style='color: blue;'>е</span>ньшить 
with them ,с н<span style='color: blue;'>и</span>ми 
population ,насел<span style='color: blue;'>е</span>ние 
it's implied ,это подразумев<span style='color: blue;'>а</span>ется 
to say hello ,поздор<span style='color: blue;'>о</span>ваться 
to say goodbye ,попрощ<span style='color: blue;'>а</span>ться 
for here or to go? ,здесь или с собой 
to drive a friend to the airport,подвезт<span style='color: blue;'>и</span> друга в аэропорт 
