to hang up,пове́сить тр<span style='color: blue;'>у</span>бку 
to pick the phone,взя́ть тр<span style='color: blue;'>у</span>бку 
service,усл<span style='color: blue;'>у</span>га 
silver,серебр<span style='color: blue;'>о</span> 
manifestation ,демонстр<span style='color: blue;'>а</span>ция 
riot,бунт 
to get used,прив<span style='color: blue;'>ы</span>кнуть 
distance ,рассто<span style='color: blue;'>я</span>ние 
to suspect ,подозрев<span style='color: blue;'>а</span>ть 
a suspect,подозрев<span style='color: blue;'>а</span>емый 
criminal,прест<span style='color: blue;'>у</span>пник 
jealous ,ревн<span style='color: blue;'>и</span>вый 
to date a girl,встреч<span style='color: blue;'>а</span>ться с девушкой 
relationship/relations,отнош<span style='color: blue;'>е</span>ния 
tomar una decisión ,приня́ть реш<span style='color: blue;'>е</span>ние 
suspicious ,подозр<span style='color: blue;'>и</span>тельный 
