to show off ,хв<span style='color: blue;'>а</span>статься 
как ,с трудо́м/ ко<span style='color: blue;'>е</span>
to show off (неформально),вып<span style='color: blue;'>е</span>ндриваться 
to tease/to mock,дразн<span style='color: blue;'>и</span>ть 
to snitch ,<span style='color: blue;'>я</span>бедничать 
a snitch ,стук<span style='color: blue;'>а</span>ч/доно́счик (звучит как "данощик"
rat ,кр<span style='color: blue;'>ы</span>са 
to admire,восхищ<span style='color: blue;'>а</span>ться 
I admire you ,я восхищАюсь тобОй 
boss ,нач<span style='color: blue;'>а</span>льник 
cigarette,сигар<span style='color: blue;'>е</span>та 
to keep/to store,хран<span style='color: blue;'>и</span>ть 
thing (неформально),шт<span style='color: blue;'>у</span>ка 
