behind me,за мной (instrumental case); позад<span style='color: blue;'>и</span> меня (genitive case
to run,б<span style='color: blue;'>е</span>гать 
over (+ instrumental case),над 
under (+ instrumental case),под 
on the left side,сл<span style='color: blue;'>е</span>ва 
on the right side,спр<span style='color: blue;'>а</span>ва 
left (when there is a verb of movement),нал<span style='color: blue;'>е</span>во 
right (when there is a verb of movement),напр<span style='color: blue;'>а</span>во 
on the top/upstairs ,наверх<span style='color: blue;'>у</span> 
on the bottom/downstairs,вниз<span style='color: blue;'>у</span> 
up (when there is a verb of movement),нав<span style='color: blue;'>е</span>рх 
down (when there is a verb of movement),вн<span style='color: blue;'>и</span>з 
