runny nose ,н<span style='color: blue;'>а</span>сморк 
to take a pill,прин<span style='color: blue;'>я</span>ть табле́тку 
We have known each other since childhood ,мы знаем друг друга с д<span style='color: blue;'>е</span>тства 
ugly person (insulting),ур<span style='color: blue;'>о</span>д 
air,в<span style='color: blue;'>о</span>здух 
worm ,черв<span style='color: blue;'>я</span>к 
a draw/a tie (in competition),ничь<span style='color: blue;'>я</span> 
lipstick ,пом<span style='color: blue;'>а</span>да 
to breath (imperfective),дыш<span style='color: blue;'>а</span>ть 
it's disgusting,это отврат<span style='color: blue;'>и</span>тельно 
