breast/chest ,грудь 
He wants to stop practicing sports ,он хо́чет перест<span style='color: blue;'>а</span>ть заниматься спо́ртом 
a story ,расск<span style='color: blue;'>а</span>з 
to skip ,пропуст<span style='color: blue;'>и</span>ть 
before I started learning this language ,до тог<span style='color: blue;'>о</span> как я начал учить этот язык 
перед тем как ,до тог<span style='color: blue;'>о</span> как 
at first/firstly ,снач<span style='color: blue;'>а</span>ла 
first of all ,в п<span style='color: blue;'>е</span>рвую о́чередь 
line/queue ,о́чередь 
it's your turn,твоя о́чередь 
