art ,иск<span style='color: blue;'>у</span>сство 
goal,ц<span style='color: blue;'>е</span>ль 
way; path,п<span style='color: blue;'>у</span>ть 
Sun,с<span style='color: blue;'>о</span>(л)нце 
it's dark,темн<span style='color: blue;'>о</span> 
mall,торг<span style='color: blue;'>о</span>вый центр 
end,кон<span style='color: blue;'>е</span>ц 
at the end,в конц<span style='color: blue;'>е</span> 
пить алкоголь (jerga),бух<span style='color: blue;'>а</span>ть 
subject; thing,предм<span style='color: blue;'>е</span>т 
