to promise,обещ<span style='color: blue;'>а</span>ть 
thin,т<span style='color: blue;'>о</span>нкий 
то ,наконEц/наконEц
a match (thin piece of wood to light a fire),сп<span style='color: blue;'>и</span>чка 
finger ,п<span style='color: blue;'>а</span>лец 
resort,кур<span style='color: blue;'>о</span>рт 
to climb a tree,зал<span style='color: blue;'>е</span>зть на дерево 
to leave (perfective),уйт<span style='color: blue;'>и</span> 
to leave (imperfective),уход<span style='color: blue;'>и</span>ть 
I left,я ушЁл 
