to marry (for women),выйти замуж за + genetive case 
to marry (for men),жениться на + prepositional case 
They got married,они пожен<span style='color: blue;'>и</span>лись 
fiance (female)/bride,нев<span style='color: blue;'>е</span>ста 
fiance (male)/groom ,жен<span style='color: blue;'>и</span>х 
to steal,укр<span style='color: blue;'>а</span>сть 
to fall asleep ,засн<span style='color: blue;'>у</span>ть 
to shoot ,стрел<span style='color: blue;'>я</span>ть 
sunrise,восх<span style='color: blue;'>о</span>д 
sunset,зак<span style='color: blue;'>а</span>т 
