hairdresser (salon),парикм<span style='color: blue;'>а</span>херская 
hairdresser (person),парикмAхер 
to get a haircut ,подстр<span style='color: blue;'>и</span>чься 
a haircut ,стр<span style='color: blue;'>и</span>жка 
discount ,ск<span style='color: blue;'>и</span>дка 
it seems to me,мне к<span style='color: blue;'>а</span>жется 
religion ,рел<span style='color: blue;'>и</span>гия 
to hide,пр<span style='color: blue;'>я</span>тать 
to hide (oneself),спр<span style='color: blue;'>я</span>таться 
hair,в<span style='color: blue;'>о</span>лосы 
to paint,кр<span style='color: blue;'>а</span>сить 
I should,мне сл<span style='color: blue;'>е</span>дует 
