boat,л<span style='color: blue;'>о</span>дка 
on the coast/on the bank,на берег<span style='color: blue;'>у</span> 
to congratulate (perfective),поздр<span style='color: blue;'>а</span>вить 
among friends ,сред<span style='color: blue;'>и</span> друзей 
reason,прич<span style='color: blue;'>и</span>на 
paper,бум<span style='color: blue;'>а</span>га 
modern,соврем<span style='color: blue;'>е</span>нный 
artist,худ<span style='color: blue;'>о</span>жник 
quality ,к<span style='color: blue;'>а</span>чество 
hide and seek,пр<span style='color: blue;'>я</span>тки 
