page ,стран<span style='color: blue;'>и</span>ца 
What's happening?,<span style='color: blue;'>ч</span>то происх<span style='color: blue;'>ч</span>дит? 
What happened?,<span style='color: blue;'>ч</span>то произошл<span style='color: blue;'>ч</span>? 
Что произошлО? ,<span style='color: blue;'>ч</span>то случ<span style='color: blue;'>ч</span>лось? 
Earth; ground,<span style='color: blue;'>з</span>емл<span style='color: blue;'>з</span> 
noise ,<span style='color: blue;'>ш</span>ум 
wedding,св<span style='color: blue;'>а</span>дьба 
to become (imperfecive),станов<span style='color: blue;'>и</span>ться 
against,пр<span style='color: blue;'>о</span>тив 
the day before yesterday ,позавчер<span style='color: blue;'>а</span> 
